Municipios;Sexo;Periodo;Total
28140 Serranillos del Valle;Hombres;2020;2.111
28141 Sevilla la Nueva;Hombres;2020;4.582
28143 Somosierra;Hombres;2020;50
28144 Soto del Real;Hombres;2020;4.399
28145 Talamanca de Jarama;Hombres;2020;1.992
28146 Tielmes;Hombres;2020;1.389
28147 Titulcia;Hombres;2020;695
28148 Torrejón de Ardoz;Hombres;2020;65.343
28149 Torrejón de la Calzada;Hombres;2020;4.559
28150 Torrejón de Velasco;Hombres;2020;2.193
28151 Torrelaguna;Hombres;2020;2.435
28152 Torrelodones;Hombres;2020;11.548
28153 Torremocha de Jarama;Hombres;2020;542
28154 Torres de la Alameda;Hombres;2020;4.002
28903 Tres Cantos;Hombres;2020;23.439
28155 Valdaracete;Hombres;2020;311
28156 Valdeavero;Hombres;2020;828
28157 Valdelaguna;Hombres;2020;491
28158 Valdemanco;Hombres;2020;498
28159 Valdemaqueda;Hombres;2020;397
28160 Valdemorillo;Hombres;2020;6.429
28161 Valdemoro;Hombres;2020;38.142
28162 Valdeolmos-Alalpardo;Hombres;2020;2.170
28163 Valdepiélagos;Hombres;2020;325
28164 Valdetorres de Jarama;Hombres;2020;2.310
28165 Valdilecha;Hombres;2020;1.533
28166 Valverde de Alcalá;Hombres;2020;262
28167 Velilla de San Antonio;Hombres;2020;6.237
28168 Vellón, El;Hombres;2020;1.055
28169 Venturada;Hombres;2020;1.179
28171 Villa del Prado;Hombres;2020;3.393
28170 Villaconejos;Hombres;2020;1.758
28172 Villalbilla;Hombres;2020;7.256
28173 Villamanrique de Tajo;Hombres;2020;354
28174 Villamanta;Hombres;2020;1.315
28175 Villamantilla;Hombres;2020;726
28176 Villanueva de la Cañada;Hombres;2020;10.756
28178 Villanueva de Perales;Hombres;2020;813
28177 Villanueva del Pardillo;Hombres;2020;8.462
28179 Villar del Olmo;Hombres;2020;1.024
28180 Villarejo de Salvanés;Hombres;2020;3.716
28181 Villaviciosa de Odón;Hombres;2020;13.604
28182 Villavieja del Lozoya;Hombres;2020;140
28183 Zarzalejo;Hombres;2020;891
