MunicipioNombre,MunicipioCongresoPartidoSiglas,MunicipioCongresoPartidoPorcenVotos,Segundo,%Segundo,Tercero,%Tercero,Cuarto,%Cuarto,Code
Fuente el Saz de Jarama,PP,50.47,P.S.O.E.,15.87,VOX,11.99,MÁS MADRID,11.93,28059

Fuentidueña de Tajo,P.S.O.E.,34.05,PP,30.73,MÁS MADRID,13.12,VOX,9.88,28060

Galapagar,PP,46.79,MÁS MADRID,15.72,P.S.O.E.,13.98,VOX,11.46,28061

Garganta de los Montes,PP,35.79,VOX,24.21,MÁS MADRID,17.19,P.S.O.E.,11.23,28062

Gargantilla del Lozoya y Pinilla de Buitrago,PP,46.05,MÁS MADRID,18.86,P.S.O.E.,15.35,PODEMOS-IU,8.33,28063

Gascones,PP,56.19,P.S.O.E.,19.05,MÁS MADRID,12.38,PODEMOS-IU,5.71,28064

Getafe,PP,35.39,P.S.O.E.,21.9,MÁS MADRID,19.52,PODEMOS-IU,9.57,28065

Griñón,PP,55.72,VOX,14.41,MÁS MADRID,11.58,P.S.O.E.,10.49,28066

Guadalix de la Sierra,PP,43.72,P.S.O.E.,18.41,MÁS MADRID,14.1,VOX,11.93,28067

Guadarrama,PP,48.77,P.S.O.E.,14.95,MÁS MADRID,13.41,VOX,12.64,28068

La Hiruela,PP,36.73,PODEMOS-IU,22.45,MÁS MADRID,18.37,VOX,12.24,28069

Horcajo de la Sierra-Aoslos,PP,42.57,VOX,16.83,MÁS MADRID,14.85,P.S.O.E.,13.86,28070

Horcajuelo de la Sierra,PP,42.86,MÁS MADRID,18.57,VOX,14.29,P.S.O.E.,12.86,28071

Hoyo de Manzanares,PP,48.01,MÁS MADRID,16.04,P.S.O.E.,12.79,VOX,12.1,28072

Humanes de Madrid,PP,42.83,P.S.O.E.,17.73,MÁS MADRID,16.04,VOX,11.46,28073

Leganés,PP,35.78,P.S.O.E.,23.31,MÁS MADRID,19.39,PODEMOS-IU,8.78,28074

Loeches,PP,44.73,MÁS MADRID,16.34,P.S.O.E.,15.65,VOX,12.12,28075

Lozoya,PP,46.01,MÁS MADRID,18.46,P.S.O.E.,14.6,VOX,9.64,28076

Madarcos,PP,44.19,PODEMOS-IU,27.91,MÁS MADRID,11.63,P.S.O.E.,9.3,28078

Madrid,PP,45.33,MÁS MADRID,17.89,P.S.O.E.,16.09,VOX,8.09,28079

Majadahonda,PP,59.91,P.S.O.E.,11.03,VOX,10.65,MÁS MADRID,9.61,28080

Manzanares El Real,PP,39.37,MÁS MADRID,20.18,P.S.O.E.,15.13,PODEMOS-IU,10.9,28082

Meco,PP,46.36,MÁS MADRID,14.53,P.S.O.E.,14.51,VOX,12.12,28083

Mejorada del Campo,PP,39.9,P.S.O.E.,18.98,MÁS MADRID,17.24,VOX,10.49,28084

Miraflores de la Sierra,PP,45.22,P.S.O.E.,19.04,MÁS MADRID,14.68,VOX,10.16,28085

El Molar,PP,46.57,P.S.O.E.,16.27,VOX,12.81,MÁS MADRID,12.78,28086

Los Molinos,PP,49.33,P.S.O.E.,14.85,MÁS MADRID,13.36,VOX,12.92,28087

Montejo de la Sierra,PP,33.64,MÁS MADRID,23.5,P.S.O.E.,22.58,PODEMOS-IU,8.29,28088
Moraleja de Enmedio,PP,46.88,P.S.O.E.,15.54,VOX,14.37,MÁS MADRID,13.52,28089

Moralzarzal,PP,46.63,MÁS MADRID,18.27,P.S.O.E.,14.13,VOX,9.13,28090

Morata de Tajuña,PP,45.32,P.S.O.E.,18.84,MÁS MADRID,13.82,VOX,10.5,28091

Móstoles,PP,40.82,P.S.O.E.,20.17,MÁS MADRID,17.45,VOX,9.28,28092

Navacerrada,PP,50.53,P.S.O.E.,15.73,VOX,13.73,MÁS MADRID,10.08,28093

Navalafuente,PP,39.42,MÁS MADRID,18.39,P.S.O.E.,12.97,VOX,12.47,28094

Navalagamella,PP,45.9,P.S.O.E.,14.88,VOX,14.64,MÁS MADRID,13.37,28095

Navalcarnero,PP,45.87,P.S.O.E.,17.45,VOX,13.62,MÁS MADRID,12.98,28096

Navarredonda y San Mamés,PP,31,P.S.O.E.,31,MÁS MADRID,17,VOX,10,28097

Navas del Rey,PP,48.67,VOX,18.92,P.S.O.E.,12.75,MÁS MADRID,10.49,28099

Nuevo Baztán,PP,40.46,MÁS MADRID,15.62,VOX,14.74,P.S.O.E.,13.8,28100

Olmeda de las Fuentes,PP,42.56,MÁS MADRID,17.44,P.S.O.E.,14.36,PODEMOS-IU,9.74,28101

Orusco de Tajuña,PP,41.62,P.S.O.E.,25.91,MÁS MADRID,15.55,VOX,8.08,28102

Paracuellos de Jarama,PP,51.58,MÁS MADRID,14.57,P.S.O.E.,11.76,VOX,11.25,28104

Parla,PP,33.97,P.S.O.E.,21.34,MÁS MADRID,18.06,VOX,12.08,28106

Patones,PP,36.14,P.S.O.E.,29.28,MÁS MADRID,15.26,VOX,9.03,28107

Pedrezuela,PP,43.48,MÁS MADRID,16.76,P.S.O.E.,13.77,VOX,12.67,28108

Pelayos de la Presa,PP,53.93,VOX,13.16,MÁS MADRID,10.75,P.S.O.E.,9.71,28109

Perales de Tajuña,PP,42.81,P.S.O.E.,24.76,VOX,12.1,MÁS MADRID,10.26,28110

Pezuela de las Torres,PP,46.17,P.S.O.E.,19.25,MÁS MADRID,12.52,VOX,11.21,28111

Pinilla del Valle,PP,42.14,P.S.O.E.,25.71,PODEMOS-IU,10.71,MÁS MADRID,10,28112

Pinto,PP,39.85,MÁS MADRID,19.5,P.S.O.E.,18.41,VOX,9.37,28113

Piñuécar-Gandullas,PP,51.3,MÁS MADRID,17.39,P.S.O.E.,9.57,VOX,7.83,28114

Pozuelo de Alarcón,PP,61.57,VOX,11.5,P.S.O.E.,10.34,MÁS MADRID,8.64,28115

Pozuelo del Rey,PP,44.89,VOX,15.07,MÁS MADRID,13.94,P.S.O.E.,13.13,28116

Prádena del Rincón,PP,40.4,P.S.O.E.,18.18,MÁS MADRID,18.18,PODEMOS-IU,8.08,28117

Puebla de la Sierra,PP,42.86,P.S.O.E.,22.45,VOX,14.29,PODEMOS-IU,10.2,28118

Quijorna,PP,53.86,MÁS MADRID,14.76,P.S.O.E.,12.36,VOX,11.45,28119

Rascafría,PP,47.13,P.S.O.E.,20.08,VOX,12.09,MÁS MADRID,11.48,28120

Redueña,PP,47.06,P.S.O.E.,19.25,MÁS MADRID,12.83,VOX,11.76,28121

Ribatejada,PP,39.59,P.S.O.E.,21.97,VOX,15.56,MÁS MADRID,12.59,28122

Rivas-Vaciamadrid,PP,34.08,MÁS MADRID,25.15,P.S.O.E.,17.14,PODEMOS-IU,11.13,28123

Robledillo de la Jara,PP,48.21,P.S.O.E.,16.07,PODEMOS-IU,10.71,Cs,8.93,28124

Robledo de Chavela,PP,46.34,VOX,15.48,P.S.O.E.,14.26,MÁS MADRID,13.44,28125

Robregordo,PP,48.57,P.S.O.E.,28.57,MÁS MADRID,11.43,VOX,8.57,28126

Las Rozas de Madrid,PP,58.4,VOX,10.83,MÁS MADRID,10.75,P.S.O.E.,10.63,28127

Rozas de Puerto Real,PP,48.54,P.S.O.E.,15.65,MÁS MADRID,14.32,VOX,10.08,28128

San Agustín del Guadalix,PP,50.63,MÁS MADRID,14.1,P.S.O.E.,13.84,VOX,9.96,28129

San Fernando de Henares,PP,36.03,MÁS MADRID,20.96,P.S.O.E.,20.34,PODEMOS-IU,8.5,28130

San Lorenzo de El Escorial,PP,45.99,MÁS MADRID,14.88,P.S.O.E.,14.47,VOX,12.19,28131

San Martín de la Vega,PP,39.7,P.S.O.E.,19.73,MÁS MADRID,15.74,VOX,12.83,28132

San Martín de Valdeiglesias,PP,48.6,P.S.O.E.,19.86,MÁS MADRID,11.45,VOX,10.51,28133

San Sebastián de los Reyes,PP,44.64,P.S.O.E.,17.31,MÁS MADRID,16.23,VOX,9.12,28134

Santa María de la Alameda,PP,42.7,MÁS MADRID,15.8,P.S.O.E.,14.72,VOX,11.46,28135

Santorcaz,PP,51.86,P.S.O.E.,16.72,VOX,12.5,MÁS MADRID,12.16,28136

Los Santos de la Humosa,PP,46.9,P.S.O.E.,15.37,MÁS MADRID,14.43,VOX,14.14,28137

La Serna del Monte,PP,62.5,MÁS MADRID,12.5,PODEMOS-IU,10.71,VOX,7.14,28138

Serranillos del Valle,PP,47.44,MÁS MADRID,15.18,VOX,14.94,P.S.O.E.,12.85,28140

Sevilla la Nueva,PP,51.55,MÁS MADRID,13.91,P.S.O.E.,12.4,VOX,11.05,28141

Somosierra,PP,55.17,P.S.O.E.,18.97,MÁS MADRID,10.34,PODEMOS-IU,6.9,28143

Soto del Real,PP,46.71,P.S.O.E.,18.3,MÁS MADRID,13.3,VOX,11.37,28144

Talamanca de Jarama,PP,42.59,P.S.O.E.,18.71,MÁS MADRID,15.3,VOX,10.62,28145

Tielmes,PP,46.62,P.S.O.E.,22.84,VOX,12.28,MÁS MADRID,9.87,28146

Titulcia,PP,39.76,P.S.O.E.,23.27,VOX,15.69,MÁS MADRID,13.56,28147

Torrejón de Ardoz,PP,45.55,P.S.O.E.,17.58,MÁS MADRID,16.47,VOX,8.37,28148
Torrejón de la Calzada,PP,46.19,MÁS MADRID,15.42,P.S.O.E.,13.72,VOX,13.09,28149

Torrejón de Velasco,PP,50.02,MÁS MADRID,14.38,VOX,13.89,P.S.O.E.,11.43,28150

Torrelaguna,PP,43.98,P.S.O.E.,22.29,MÁS MADRID,13.35,VOX,9.58,28151

Torrelodones,PP,56.14,VOX,11.87,MÁS MADRID,11.81,P.S.O.E.,10.25,28152

Torremocha de Jarama,PP,30.34,MÁS MADRID,21.53,PODEMOS-IU,18.14,P.S.O.E.,15.93,28153

