"Año";"Periodo";"PP";"PSOE";"IU";"Podemos";"C's";"Más Madrid";"Vox";"Otros"
"1983";"Mayo";"34";"51";"";"";"";"";"";"9"
"1987";"Junio";"32";"40";"7";"";"";"";"";"17"
"1991";"Mayo";"47";"41";"13";"";"";"";"";""
"1995";"Mayo";"54";"32";"17";"";"";"";"";""
"1999";"Junio";"55";"39";"8";"";"";"";"";""
"2003";"Mayo";"55";"47";"9";"";"";"";"";""
"2003";"Octubre";"57";"45";"9";"";"";"";"";""
"2007";"Mayo";"67";"42";"11";"";"";"";"";""
"2011";"Mayo";"72";"36";"13";"";"";"";"";"8"
"2015";"Mayo";"48";"37";"0";"27";"17";"";"";""
"2019";"Mayo";"30";"37";"";"7";"26";"20";"12";""
"2021";"Mayo";"65";"24";"";"10";"";"24";"13";""
;;;;;;;;;
;;;;;;;;;
"Métrica":"PP"
"Fuente":"Comunidad de Madrid"
"Clasificación":""
"Unidad":"Escaños"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"PSOE"
"Fuente":"Comunidad de Madrid"
"Clasificación":""
"Unidad":"Escaños"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"IU"
"Fuente":"Comunidad de Madrid"
"Clasificación":""
"Unidad":"Escaños"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Podemos"
"Fuente":"Comunidad de Madrid"
"Clasificación":""
"Unidad":"Escaños"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"C's"
"Fuente":"Comunidad de Madrid"
"Clasificación":""
"Unidad":"Escaños"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Más Madrid"
"Fuente":"Comunidad de Madrid"
"Clasificación":""
"Unidad":"Escaños"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Vox"
"Fuente":"Comunidad de Madrid"
"Clasificación":""
"Unidad":"Escaños"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Métrica":"Otros"
"Fuente":"Comunidad de Madrid"
"Clasificación":""
"Unidad":"Escaños"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;;
;;;;;;;;;
"Url":"https://www.epdata.es/evolucion-escanos-cada-partido-elecciones-asamblea-madrid/1fdc3e50-25ba-41c2-a881-d8575d0f6f96"
"Titulo":"Evolución del escaños de cada partido en las elecciones a la Asamblea de Madrid"
"Subtitulo":""
